order_id,customer_id,order_date,order_status,shipping_address,total_amount,payment_status,created_at
ORD067A1X6KKYFS,CUSTO13V6HS5EJ5M,2024-11-30 12:49:27,Processing,200 Main Street,129602.0,Paid,2024-11-30 12:49:27
ORDJ1VBKGPXVM3T,CUSTURQ9UWOM28I6,2024-09-12 06:07:59,Processing,175 Main Street,41506.0,Paid,2024-09-12 06:07:59
ORD5Q0JOTBF3JNQ,CUST1SLXRIL7DTDI,2024-10-11 06:57:43,Completed,143 Main Street,174195.0,Paid,2024-10-11 06:57:43
ORDZ6YZJ5G5H6VV,CUST65W3SG6T6VAL,2024-02-29 15:42:47,Cancelled,65 Main Street,5748.0,Paid,2024-02-29 15:42:47
ORDX8E4MYLHZEF5,CUSTTM2H1K3B7ZNH,2024-08-04 17:41:46,Shipped,174 Main Street,182760.0,Paid,2024-08-04 17:41:46
ORDJYU7H7F9ALB0,CUSTFQI8FFTICSEC,2024-08-09 20:23:34,Processing,18 Main Street,129522.0,Paid,2024-08-09 20:23:34
ORDA8O7GBYVTGMY,CUST9QIO4HYH4HKT,2025-02-11 10:47:41,Shipped,133 Main Street,4606.0,Paid,2025-02-11 10:47:41
ORDS09YDYA05PBK,CUSTD06O416FLCUU,2025-11-25 06:47:29,Processing,83 Main Street,90968.0,Pending,2025-11-25 06:47:29
ORDP28V2HOSA9WU,CUSTRDKPWRL2SRNT,2024-11-21 02:04:34,Cancelled,284 Main Street,145022.0,Pending,2024-11-21 02:04:34
ORDP448F4SUNPRH,CUSTCDHEKBHXNCZJ,2024-06-19 21:39:39,Shipped,2 Main Street,199156.0,Pending,2024-06-19 21:39:39
ORD90MIQBF38VI9,CUSTUVV7DTDBZ5PQ,2024-07-11 22:41:58,Cancelled,252 Main Street,75646.0,Paid,2024-07-11 22:41:58
ORDAGL4I6C25M5W,CUSTDIM39AGY3MJT,2025-09-04 04:10:58,Processing,152 Main Street,141642.0,Pending,2025-09-04 04:10:58
ORD6BN6H0J3A3UX,CUSTVZV1HQD5E9OE,2025-02-21 22:29:46,Cancelled,33 Main Street,232450.0,Paid,2025-02-21 22:29:46
ORDNZBQ3B93KIXV,CUSTCD2BWFNZL88V,2024-04-08 16:30:46,Cancelled,5 Main Street,89647.0,Paid,2024-04-08 16:30:46
ORDLSQZO88VYQ18,CUSTHMPCWJVHC182,2024-10-07 12:51:04,Processing,37 Main Street,138291.0,Paid,2024-10-07 12:51:04
ORD2RK1R8MOJ0BA,CUSTUI1Q0L0IVKV5,2024-09-08 21:43:38,Cancelled,270 Main Street,58684.0,Paid,2024-09-08 21:43:38
ORD183C4WI1HGY6,CUSTC4EYAC7KPJLD,2024-11-02 03:28:49,Cancelled,263 Main Street,137306.0,Paid,2024-11-02 03:28:49
